Date,Price,Open,High,Low,Vol.,Change %
"May 08, 2020",30.17,29.61,30.67,29.42,-,2.41%
"May 07, 2020",29.46,29.64,31.84,29.08,259.89K,-0.87%
"May 06, 2020",29.72,32.27,32.27,28.66,268.46K,-4.04%
"May 05, 2020",30.97,28.10,32.06,27.77,267.14K,13.86%
"May 04, 2020",27.20,26.10,28.08,25.50,215.73K,2.87%
"May 01, 2020",26.44,26.95,27.88,25.76,216.98K,4.63%
"Apr 30, 2020",25.27,22.87,25.76,22.87,9.69K,12.11%
"Apr 29, 2020",22.54,20.66,23.88,20.53,86.55K,10.17%
"Apr 28, 2020",20.46,19.90,21.29,18.73,123.22K,2.35%
"Apr 27, 2020",19.99,21.55,21.91,19.11,162.39K,-6.76%
"Apr 24, 2020",21.44,21.93,22.70,20.50,187.00K,0.52%
"Apr 23, 2020",21.33,20.89,23.22,20.07,256.30K,4.71%
"Apr 22, 2020",20.37,20.23,22.45,15.98,344.76K,5.38%
"Apr 21, 2020",19.33,26.33,26.50,17.51,637.21K,-24.40%
"Apr 20, 2020",25.57,28.05,28.25,25.37,361.83K,-8.94%
"Apr 17, 2020",28.08,28.66,28.93,27.58,286.17K,0.93%
"Apr 16, 2020",27.82,28.05,29.00,27.20,272.98K,0.47%
"Apr 15, 2020",27.69,30.26,30.33,27.16,284.34K,-6.45%
"Apr 14, 2020",29.60,32.25,32.32,29.38,297.55K,-6.74%
"Apr 13, 2020",31.74,33.99,33.99,30.63,223.29K,0.83%
"Apr 09, 2020",31.48,33.82,36.40,31.18,493.00K,-4.14%
"Apr 08, 2020",32.84,32.63,33.87,31.54,320.61K,3.04%
